"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","WarpStateStats","","","","CPIStall","INF","Check the Warp Stall Sampling (All Samples) table for the top stall locations in your source based on sampling data. The Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#metrics-reference) provides more details on each stall reason.","",""
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Instruction Statistics","Local Memory Spilling Requests","byte","0",
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Instruction Statistics","Shared Memory Spilling Requests","byte","0",
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Instruction Statistics","Avg. Executed Instructions Per Scheduler","inst","6533.05",
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Instruction Statistics","Executed Instructions","inst","1829254",
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Instruction Statistics","Avg. Issued Instructions Per Scheduler","inst","6533.05",
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Instruction Statistics","Issued Instructions","inst","1829254",
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","InstructionStats","","","","FPInstructions","OPT","This workload executes 28434 fused and 123214 non-fused FP32 instructions. By converting pairs of non-fused instructions to their fused (https://docs.nvidia.com/cuda/floating-point/#cuda-and-floating-point), higher-throughput equivalent, the achieved FP32 performance could be increased by up to 41% (relative to its current performance).","global","2.254"
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Launch Statistics","Block Size","","128",
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Launch Statistics","Cluster Scheduling Policy","","PolicySpread",
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Launch Statistics","Cluster Size","","0",
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Launch Statistics","Function Cache Configuration","","CachePreferNone",
"0","55","cudabench","127.0.0.1","policy_logits_with_bonus","1","13","(128, 1, 1)","(4739, 1, 1)","0","12.0","Launch Statistics","Grid Size","","4739",
